source_id,title,source_type,publisher,published_date,is_demo,url,linh_vuc,tags,document_number,gazette_number,pages,status
nd123_2015,Quy định chi tiết một số điều và biện pháp thi hành Luật Hộ tịch,Nghị định,Chính phủ,2016-01-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=182158,Hộ tịch,hộ tịch;đăng ký khai sinh;đăng ký kết hôn;đăng ký tử;cải chính hộ tịch,123/2015/NĐ-CP,Công báo số 45+46 năm 2015,45,active_verified
luat60_2014,LUẬT HỘ TỊCH,Luật,Quốc hội,2016-01-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=178129,Hộ tịch,hộ tịch;đăng ký thường trú;đăng ký tạm trú;khai sinh;khai tử;cải chính,60/2014/QH13,Công báo số 12 năm 2015,68,active_verified
luat52_2014,LUẬT HÔN NHÂN VÀ GIA ĐÌNH,Luật,Quốc hội,2015-01-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=175351,Hôn nhân và Gia đình,kết hôn;ly hôn;tình trạng hôn nhân;chế độ tài sản;nuôi con;giám hộ,52/2014/QH13,Công báo số 38 năm 2014,92,active_verified
nd126_2014,Quy định chi tiết một số điều và biện pháp thi hành Luật Hôn nhân và gia đình,Nghị định,Chính phủ,2015-02-15,False,https://vanban.chinhphu.vn/?pageid=27160&docid=178372,Hôn nhân và Gia đình,đăng ký kết hôn;xác nhận tình trạng hôn nhân;ly hôn;chế độ tài sản,126/2014/NĐ-CP,Công báo số 11 năm 2015,58,active_verified
luat68_2020,LUẬT CƯ TRÚ,Luật,Quốc hội,2021-07-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=202609,Cư trú,đăng ký thường trú;đăng ký tạm trú;gia hạn tạm trú;chuyển thường trú,68/2020/QH14,Công báo số 4 năm 2021,54,active_verified
nd154_2024,Quy định chi tiết một số điều và biện pháp thi hành Luật Cư trú,Nghị định,Chính phủ,2025-01-10,False,https://vanban.chinhphu.vn/?pageid=27160&docid=211821,Cư trú,đăng ký thường trú;đăng ký tạm trú;thẻ cư trú điện tử;gia hạn,154/2024/NĐ-CP,Công báo số 4 năm 2025,42,active_verified
nd07_2025,"Sửa đổi, bổ sung một số điều của các Nghị định trong lĩnh vực hộ tịch, quốc tịch, chứng thực",Nghị định,Chính phủ,2025-01-09,False,https://vanban.chinhphu.vn/?pageid=27160&docid=212416,"Hộ tịch, Quốc tịch, Chứng thực",cải chính hộ tịch;cấp lại giấy khai sinh;phí lệ phí;chứng thực,07/2025/NĐ-CP,Công báo số 5 năm 2025,38,active_verified
luat46_2024,LUẬT CÔNG CHỨNG,Luật,Quốc hội,2025-07-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=212474,Chứng thực,chứng thực;công chứng viên;hợp đồng công chứng;di chúc,46/2024/QH15,Công báo số 1 năm 2025,85,active_verified
nd104_2025,Quy định chi tiết một số điều và biện pháp thi hành Luật Công chứng,Nghị định,Chính phủ,2025-07-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=213663,Chứng thực,thủ tục chứng thực;hồ sơ chứng thực;công chứng viên;phí chứng thực,104/2025/NĐ-CP,Công báo số 8 năm 2025,65,active_verified
luat26_2023,LUẬT CĂN CƯỚC,Luật,Quốc hội,2024-07-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=209628,Căn cước,cấp thẻ căn cước;cấp lại thẻ;thay đổi thông tin;số định danh,26/2023/QH15,Công báo số 1 năm 2024,58,active_verified
nd62_2021,Quy định chi tiết một số điều Luật Cư trú,Nghị định,Chính phủ,2021-07-01,False,https://vanban.chinhphu.vn/?pageid=27160&docid=203460,Cư trú (HẾT HIỆU LỰC),đăng ký thường trú;đăng ký tạm trú;hết hiệu lực,62/2021/NĐ-CP,Công báo số 17 năm 2021,32,expired
