source_id,docid,ky_hieu,status,notes
nd123_2015,182158,123/2015/NĐ-CP,error,Nghị định chi tiết thi hành Luật Hộ tịch
luat60_2014,178129,60/2014/QH13,error,Luật Hộ tịch
luat52_2014,175351,52/2014/QH13,error,Luật Hôn nhân và Gia đình
nd126_2014,178372,126/2014/NĐ-CP,error,Nghị định chi tiết thi hành Luật HN&GĐ
luat68_2020,202609,68/2020/QH14,error,Luật Cư trú
nd154_2024,211821,154/2024/NĐ-CP,error,Nghị định chi tiết thi hành Luật Cư trú
nd07_2025,212416,07/2025/NĐ-CP,error,NĐ sửa đổi hộ tịch/quốc tịch/chứng thực
luat46_2024,212474,46/2024/QH15,error,"Luật Công chứng (mới, hiệu lực 01/07/2025)"
nd104_2025,213663,104/2025/NĐ-CP,error,NĐ quy định chi tiết thi hành Luật Công chứng
luat26_2023,209628,26/2023/QH15,error,Luật Căn cước
nd62_2021,203460,62/2021/NĐ-CP,error,NĐ xử phạt hộ tịch (hết hiệu lực)
